"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","DELETE /posts/{invalid_id} - Simulated invalid deletes","3","0","","0"
"0","User Management API","1","GET /users/{id}","0","0","","0"
"0","","3","GET /users/{id} with multiple inputs","0","0","","0"
"1","Post - Get - Delete - Get","0","POST","0","0","","0"
"0","","1","Authentication","0","0","Successful login","0"
"0","","1","Authentication","0","0","Missing password","0"
"0","","0","DELETE /posts/{post_id}","3","0","","0"
"0","","0","Negative Test - GET /posts/{invalid_id}","3","0","","0"
"0","","0","GET /posts/{id}","3","0","","0"
"0","","1","E2E: Create → Delete → (Optional) Verify Delete","0","0","","0"
"0","","3","Negative Test - GET /users/{invalid_id}","0","0","","0"
