"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","358","Attempt to delete non-existent or invalid posts","tests","Mon May 12 11:24:10 CEST 2025","passed","Mon May 12 11:24:10 CEST 2025","","test_posts_api","",""
"","151","Verify that user with ID 1 can be fetched successfully","tests","Mon May 12 11:24:10 CEST 2025","failed","Mon May 12 11:24:11 CEST 2025","","test_users_api","",""
"","125","Verify different users by ID and username","tests","Mon May 12 11:24:11 CEST 2025","failed","Mon May 12 11:24:11 CEST 2025","","test_users_api","",""
"","0","Post","tests","Mon May 12 11:24:08 CEST 2025","broken","Mon May 12 11:24:08 CEST 2025","","test_posts_api","",""
"","158","test_successful_login","tests","Mon May 12 11:24:07 CEST 2025","failed","Mon May 12 11:24:07 CEST 2025","","test_auth_api","",""
"","105","test_login_missing_password","tests","Mon May 12 11:24:07 CEST 2025","failed","Mon May 12 11:24:07 CEST 2025","","test_auth_api","",""
"","137","Attempt to delete non-existent or invalid posts","tests","Mon May 12 11:24:10 CEST 2025","passed","Mon May 12 11:24:10 CEST 2025","","test_posts_api","",""
"","396","Delete existing post by ID","tests","Mon May 12 11:24:09 CEST 2025","passed","Mon May 12 11:24:09 CEST 2025","","test_posts_api","",""
"","27","test_get_invalid_post[101]","tests","Mon May 12 11:24:08 CEST 2025","passed","Mon May 12 11:24:08 CEST 2025","","test_posts_api","",""
"","375","Attempt to delete non-existent or invalid posts","tests","Mon May 12 11:24:09 CEST 2025","passed","Mon May 12 11:24:10 CEST 2025","","test_posts_api","",""
"","23","test_get_post_by_id[10]","tests","Mon May 12 11:24:08 CEST 2025","passed","Mon May 12 11:24:08 CEST 2025","","test_posts_api","",""
"","24","test_get_invalid_post[no-id]","tests","Mon May 12 11:24:08 CEST 2025","passed","Mon May 12 11:24:08 CEST 2025","","test_posts_api","",""
"","101","test_get_post_by_id[1]","tests","Mon May 12 11:24:08 CEST 2025","passed","Mon May 12 11:24:08 CEST 2025","","test_posts_api","",""
"","179","Simulate full flow of POST then DELETE a blog post","tests","Mon May 12 11:24:10 CEST 2025","failed","Mon May 12 11:24:10 CEST 2025","","test_posts_api","",""
"","35","test_get_post_by_id[5]","tests","Mon May 12 11:24:08 CEST 2025","passed","Mon May 12 11:24:08 CEST 2025","","test_posts_api","",""
"","138","test_get_nonexistent_user[0]","tests","Mon May 12 11:24:11 CEST 2025","failed","Mon May 12 11:24:11 CEST 2025","","test_users_api","",""
"","390","test_get_invalid_post[0]","tests","Mon May 12 11:24:08 CEST 2025","passed","Mon May 12 11:24:08 CEST 2025","","test_posts_api","",""
"","165","Verify different users by ID and username","tests","Mon May 12 11:24:11 CEST 2025","failed","Mon May 12 11:24:11 CEST 2025","","test_users_api","",""
"","150","Verify different users by ID and username","tests","Mon May 12 11:24:11 CEST 2025","failed","Mon May 12 11:24:11 CEST 2025","","test_users_api","",""
"","165","test_get_nonexistent_user[abc]","tests","Mon May 12 11:24:11 CEST 2025","failed","Mon May 12 11:24:12 CEST 2025","","test_users_api","",""
"","384","Delete existing post by ID","tests","Mon May 12 11:24:08 CEST 2025","passed","Mon May 12 11:24:09 CEST 2025","","test_posts_api","",""
"","166","test_get_nonexistent_user[9999]","tests","Mon May 12 11:24:11 CEST 2025","failed","Mon May 12 11:24:11 CEST 2025","","test_users_api","",""
"","371","Delete existing post by ID","tests","Mon May 12 11:24:09 CEST 2025","passed","Mon May 12 11:24:09 CEST 2025","","test_posts_api","",""
